product_name,product_price,product_discount_price,voucher_amount,availability
Riversong Nexus P8 Multifunction Type-C Docking Station,219.00,,0,True
Riversong Nexus P11 Multifunction Type-C Docking Station,299.00,,0,True
Samsung 32GB EVO Plus microSD Card with SD Adapter SAM-MB-MC32GA/APC,39.00,,50,True
Apple USB-C to USB Adapter,99.00,,0,True
Apple USB-C VGA Multiport Adapter,349.00,,0,True
Lightning to 3.5 mm Headphone Jack Adapter,55.00,,0,True
Rapoo Optical Mouse N1020 (Black),19.00,,0,True
Microsoft Surface Arc Mouse ,369.00,,0,True
Microsoft Surface Mobile Mouse ,199.00,,0,True
Microsoft Surface Go Signature Type Cover ,599.00,,0,True
MSI Clutch GM60 RGB Gaming Optical Mouse ,434.00,,0,True
Microsoft Modern Mobile Mouse Bluetooth,199.00,,0,True
Microsoft Surface Pen,399.00,,0,True
Microsoft Surface Laptop 3,"4,499.00",,1500,True
HP DeskJet Ink Advantage 2336 All-in-One Printer ,199.00,,0,True
MSI Keyboard Gaming Gear Vigor GK50 Low Profile,559.00,,0,True
MSI Audio Gaming Gear immerse GH50,370.00,,0,True
"Apple MacBook Air (M1 chip, 2020)","5,199.00",,0,True
Logitech M331 Silent Plus,65.00,,0,True
Logitech M377 Bluetooth Mouse,100.00,,0,True
Microsoft Arc Mouse,339.00,,0,True
Microsoft Designer Bluetooth Desktop,409.00,,0,True
Apple USB-C Digital AV Multiport Adapter,349.00,,0,True
Apple Magic Keyboard for iPad Air (4th generation) and iPad Pro 11-inch (2nd generation),"1,479.00",,0,True
Apple Magic Keyboard with Touch ID and Numeric Keypad for Mac - US English,659.00,,0,True
Apple Magic Keyboard with Numeric Keypad,489.00,,0,True
Promate Laptop Cooling Pad Air Base-1,85.00,,0,True
Promate Cooling Pad Air Base,139.00,,0,True
"Apple MacBook Air (15-Inch, M2 Chip, 2023)","6,999.00",,0,True
Cento PD 20W QC3.0 USB-C and USB-A DUAL PORT Wall Charger CT-LQP203,69.00,,0,True
Microsoft Surface Laptop 5 ,"8,899.00",,0,True
Microsoft Surface Pro 9 ,"9,399.00",,0,True
[Bundle] Future Lab 7D Ergonomic Reclining Chair + Absorbing Lumbar Support + T-Lamp Monitor Light Bar,899.00,,0,True
Future Lab Table Lamp Monitor Light Bar FG14390,149.00,RM 150.00,0,True
Future Lab 7D Shock-Absorbing Lumbar Support FG13860,149.00,RM 100.00,0,True
Future Lab 7D Ergonomic Reclining Chair FG14630,749.00,RM 150.00,0,True
Logitech M650 Signature Wireless Mouse,159.00,,0,True
Microsoft Surface Pro Signature Keyboard with Slim Pen 2,"1,199.00",,0,True
Microsoft Surface Pro Signature Keyboard,759.00,,0,True
MSI Clutch GM41 Lightweight Wireless Gaming Mouse,385.00,,0,True
MSI CLUTCH GM41 LIGHT WEIGHT Gaming Mouse ,189.00,,0,True
MSI Gaming Headset Immerse GH61,529.00,,0,True
Microsoft Office Professional 2021 (Digital Download Delivery),"1,999.00",RM 400.00,0,True
Microsoft Project Professional 2021 (Digital Download Delivery),"6,199.00",,0,True
Microsoft Project Standard 2021 (Digital Download Delivery),"3,199.00",,0,True
Microsoft Visio Standard 2021 (Digital Download Delivery),"1,599.00",,0,True
Microsoft Visio Professional 2021 (Digital Download Delivery),"3,199.00",,0,True
Apple 140W USB-C Power Adapter,399.00,,0,True
Apple Magic Mouse,319.00,,0,True
Apple Magic Trackpad,489.00,,0,True
Canon PIXMA MG2570S,209.00,,0,True
Microsoft Office Home & Business 2021 (Digital Download Delivery),"1,049.00",RM 350.00,0,True
Microsoft Office Home & Student 2021 (Digital Download Delivery),529.00,,0,True
Logitech MK295 Silent Wireless Keyboard and Mouse Combo,119.00,RM 10.00,0,True
Microsoft 365 Business Standard (Digital Download Delivery),679.00,,0,True
Microsoft 365 Personal (Digital Download Delivery),219.00,,0,True
Microsoft 365 Family (Digital Download Delivery),289.00,,0,True
"Apple MacBook Pro (14-Inch, M3 Pro, M3 Max, 2023)","14,799.00",,0,True
ACER Predator Helios Neo 16 PHN16-71-778U (Intel® Core™ i7-13700HX | 16GB+1TB | NVIDIA® GeForce RTX™ 4050 | 16' 165Hz),"5,499.00",,0,True
HP Pavilion Aero 13-BE2027AU (AMD Ryzen™ 5 processor | 16GB+512GB | AMD Radeon™ Graphics | 13.3'),"3,699.00",,0,True
HP Laptop 15.6inch 15-fd0056TU Silver (Intel® Core™ i7-1355U | 8GB+512GB | Intel® Iris® Xᵉ Graphics | 15.6'),"3,799.00",,0,True
HP Laptop 14 inch 14-ep0039TU Gold (Intel® Core™ i7 processor | 8GB+512GB | Intel® Iris® Xᵉ Graphics |14'),"3,799.00",,0,True
HP Victus Gaming Laptop 15-FA1120TX (Intel® Core™ i5 12450H | 8GB+512gb | NVIDIA® GeForce RTX™ 2050 | 15.6' 144Hz),"3,399.00",,0,True
HP Victus Gaming Laptop 15-FA1121TX (Intel® Core™ i5 12450H | 8GB+512GB | NVIDIA® GeForce RTX™ 2050 | 15.6' 144Hz),"3,399.00",,0,True
Canon PIXMA G2730 AIO Wireless Ink Tank Printer,650.00,,0,True
