product_name,product_price,product_discount_price,voucher_amount,availability
OPPO Watch X 46mm,"1,299.00",RM 100.00,0,True
Panasonic Evolta 9V Battery PSN-BT6LR61EGM,14.10,,50,True
Panasonic Super Heavy Duty AA Battery PSN-BTUM3SHD-2B,4.80,,50,True
Panasonic Super Heavy Duty AA Battery PSN-BTUM3SHD-8B+2,13.30,,50,True
Panasonic Super Heavy Duty AAA Battery PSN-BTUM4SHD-2B,5.10,,50,True
Panasonic Super Heavy Duty AAA Battery PSN-BTUM4SHD-4B,8.80,,50,True
Panasonic Super Heavy Duty AAA Battery PSN-BTUM4SHD-6B2F,9.60,,50,True
Panasonic Super Heavy Duty AAA Battery PSN-BTUM4SHD-8B2F,13.30,,50,True
MasterLink Extension Box 10m MSL-EXTBOX10,89.00,RM 3.00,0,True
Panasonic Eneloop Quick Battery Charger KJ16MCC40M PSN-KJ16MCC40M,198.00,,50,True
Cento 4-in-1 T Shape Adaptor CT-S1634,30.00,RM 2.00,0,True
Cento 3 Gang Socket With Surge and 2USB 813NS2USB,63.00,RM 2.00,0,True
Cento 4 Gang Socket With Surge and 2 USB 814NS2USB,66.00,RM 2.00,0,True
Cento 5 Gang Socket With Surge and 2 USB 815NS2USB,74.00,RM 2.00,0,True
Cento 3 Gang Socket With Surge Protector S533BY,37.00,RM 1.00,0,True
Cento 4 Gang Socket With Surge Protector S534BY,39.00,RM 1.00,0,True
Cento 5 Gang Socket With Surge Protector S535BY,44.00,RM 1.00,0,True
(BUNDLE PACK) Belkin 4 Outlet 2M Surge Protection with 2 USB Charging Ports ,159.00,RM 6.00,0,True
(BUNDLE PACK) Belkin USB Charging 6 Outlet Surge Protection,179.00,RM 6.00,0,True
Apple AirPods (2nd generation),519.00,RM 110.00,0,True
Belkin 4-Socket 2M Surgemaster (TWIN) BKN-F9H410SA2M(TW),228.00,RM 30.00,0,True
TP-Link Tapo C100 Smart Home Security Wi-Fi Camera,89.00,,0,True
TP-Link Tapo C200 Pan/Tilt Smart Home Security Wi-Fi Camera,115.00,,0,True
Apple 30W USB-C Power Adapter,159.00,,0,True
Philips 6 way Socket 2M Black SPN1664BA/69,87.00,RM 2.00,15,True
TP-Link Tapo C310 Outdoor Security Wi-Fi Camera,179.00,,0,True
TP-Link Pan/Tilt Home Security Wi-Fi Camera TP-TAPOC210,149.00,,0,True
"Riversong 10,000 mAh Vision 10 Battery Bank",119.00,,0,True
DJI MINI 2 SE ,"1,859.00",,0,True
Jabra Elite 3,389.00,,0,True
Riversong Air X7 Ultra TWS Earbuds,229.00,,0,True
Logitech C615 Webcam,329.00,,0,True
Logitech C922 Pro HD Stream Webcam,499.00,,0,True
Apple AirPods (3rd generation) with MagSafe Charging Case,799.00,RM 80.00,0,True
IMOO Watch Phone Z1,499.00,,0,True
HUAWEI Watch GT 3,"1,199.00",,0,True
Belkin Ultra HD High Speed HDMI® Cable,179.00,RM 10.00,0,True
Belkin USB-C PD 3.0 PPS Wall Charger 25W,89.00,,0,True
Huawei Watch Fit 2 ,699.00,,0,True
Riversong Motive 2C Smart Sports Watch,259.00,,0,True
HONOR Watch GS 3,999.00,,15,True
Samsung Galaxy Buds2 Pro ,549.00,,50,True
Samsung Galaxy Watch5 ,999.00,,50,True
Samsung Galaxy Watch5 Pro 45mm,"1,599.00",,50,True
Apple AirPods (3rd generation) with Lightning Charging Case,749.00,RM 80.00,0,True
Apple Watch Series 8,"2,299.00",,0,True
Aqara G3 Camera Hub AQR-CH-H03,599.00,,0,True
GP CR2025 Lithium Coins Cells,10.50,,0,True
GP CR2032 Lithium Coins Cells,10.50,,0,True
Riversong Vision 20 Pro Powerbank (20000mAH),199.00,,0,True
DJI OSMO Mobile 6,639.00,,0,True
PANZERGLASS FULL BODY APPLE WATCH ULTRA 49MM BLACK AB,99.00,,0,True
PANZERGLASS FULL BODY APPLE WATCH ULTRA 49MM CLEAR AB,99.00,,0,True
DJI Avata Explorer Combo,"3,479.00",,0,True
Microsoft Surface USB Type-C to HDMI adapter for Surface Book 2 (HFM-00005),177.00,,0,True
DJI AIR 3,"6,589.00",,0,True
 Samsung Galaxy Watch 6  ,"1,199.00",,50,True
Samsung Galaxy Watch 6 Classic  ,"1,499.00",,50,True
DJI Action 4,"1,999.00",,0,True
Apple Watch SE 2023,"1,599.00",,0,True
DJI Mini 4 Pro ,"4,889.00",,0,True
HUAWEI WATCH GT 4,"1,199.00",,0,True
Apple Watch Ultra 2 GPS + Cellular 49mm with Titanium Case and Trail Loop,"3,799.00",,0,True
Apple AirPods Pro (2nd generation) with MagSafe Charging Case (USB‑C),"1,019.00",RM 80.00,0,True
IMOO Watch Phone Z7,899.00,,0,True
Samsung Galaxy Fit3,299.00,,50,True
Panasonic Cordless Phone PSN-KXTG6811MLB,207.00,,50,False
Panasonic Cordless DECT Phone PSN-KXTG6812MLB,286.00,,50,False
Sony 4GB Sports Wearable MP3 Player (Blue) NWWS413/LME,379.00,RM 20.00,0,False
Apple 45W MagSafe 2 Power Adapter for MacBook Air,329.00,,0,False
Apple 60W MagSafe 2 Power Adapter (MacBook Pro with 13-inch Retina display),299.00,,0,False
