product_name,product_price,product_discount_price,voucher_amount,availability
Apple Magic Keyboard Folio for iPad (10th generation) ,"1,249.00",,0,True
Belkin Ultra HD High Speed HDMI® Cable,179.00,RM 10.00,0,True
Apple Magic Keyboard for iPad Pro 11-inch (3rd generation) and iPad Air (5th generation),"1,479.00",,0,True
Belkin 7.5W Wireless Charging Pad BKN-F7U027DR/WHT,309.00,,0,True
Apple Pencil (1st generation),389.00,RM 90.00,0,True
Belkin 3.1 USB-A to USB-C Cable (Black) BKN-F2CU029BT1M-BLK,92.00,,0,True
MasterLink HDMI Cable 2M MSL-HD02SM,99.00,RM 90.00,0,True
MasterLink Adjustable HDMI Cable 2M MSL-HD02-360,165.00,RM 20.00,0,True
Apple MQGJ2FE/A USB-C to Lightning Cable (1m),83.00,,0,True
HUAWEI Matepad Pro Keyboard - Grey,499.00,,0,True
Apple Smart Keyboard Folio for iPad Pro 12.9-inch (5th generation),869.00,,0,True
Apple USB-C to Lightning Cable (1m),99.00,,0,True
Apple 35W Dual USB-C Port Power Adapter,239.00,,0,True
Apple 20W USB-C Power Adapter,85.00,RM 14.00,0,True
Apple MagSafe Charger,219.00,,0,True
Rapoo XC100 Wireless Charging Pad,49.00,RM 31.00,0,True
Apple Pencil (2nd generation),399.00,RM 200.00,0,True
iPhone 11,"3,099.00",,0,True
Riversong 20W Power Adapter,79.00,,0,True
Apple AirTag,499.00,,0,True
Riversong Hercules C3 Fast Charging Cable,89.00,,0,True
HONOR 90 5G,"1,899.00",,15,True
Apple USB-C Woven Charge Cable (1m),99.00,,0,True
PANZERGLASS FOR IPHONE 14 PRO UWF AB,159.00,,0,True
SAFE UWF SCREEN PROTECTOR FOR IPHONE 14 PRO,79.00,,0,True
Samsung Galaxy S23 Ultra 5G,"5,799.00",,50,True
Samsung Galaxy S23+ 5G,"4,999.00",,50,True
Riversong Nexus P8 Multifunction Type-C Docking Station,219.00,,0,True
Riversong Nexus P11 Multifunction Type-C Docking Station,299.00,,0,True
"Apple 11-inch iPad Pro (4th generation), 2022","10,149.00",,0,True
Apple 10.9-inch iPad (10th generation),"3,499.00",,0,True
Samsung Galaxy Tab S6 Lite (4GB+64GB) ,"1,249.00",,50,True
Belkin Dual Wall Charger with PPS 37W,119.00,,0,True
HUAWEI MatePad Pro 11 ,"3,699.00",,0,True
Samsung 25W Super Fast Charge Travel Adapter Black (With Cable),129.00,,50,True
Samsung 25W Power Delivery Adapter (USB-C) White (Without Cable),129.00,,50,True
iPhone Leather Wallet with MagSafe ,269.00,,0,True
Riversong Hercules 60W 5A Fast Charge Cable,59.00,,0,True
HUAWEI MatePad 11,"2,399.00",,0,True
Apple Smart Keyboard for iPad (9th generation) - US English,779.00,,0,True
Samsung Galaxy Tab S9 (12GB+256GB)  ,"4,199.00",,50,True
Samsung Galaxy Tab S9+ (12GB+512GB)  ,"5,199.00",,50,True
 Samsung Galaxy Z Flip5,"4,999.00",,50,True
 Samsung Galaxy Z Fold5  ,"8,299.00",,50,True
Samsung Galaxy Z Flip5 Flipsuit Case - Transparent,50.00,RM 149.00,50,True
UNIQ HYBRID Galaxy ZFlip5 Lifepro Xtreme - Clear Case,69.00,,0,True
UNIQ HYBRID Galaxy ZFold5 Lifepro Xtreme - Clear Case,69.00,,0,True
UNIQ HYBRID IPHONE 15 PRO MAX (6.7) MAGCLICK CHARGING CALIO (AF) - SMOKED (GREY TINTED) UNQ-8886463685723,99.00,,0,True
UNIQ HYBRID IPHONE 15 PRO MAX (6.7) MAGCLICK CHARGING CALIO (AF) - NUDE (TRANSPARENT) UNQ-8886463685716,99.00,,0,True
UNIQ HYBRID IPHONE 15 PRO (6.1) MAGCLICK CHARGING CALIO - SMOKED (GREY TINTED) UNQ-8886463685426,99.00,,0,True
UNIQ HYBRID IPHONE 15 PRO (6.1) MAGCLICK CHARGING CALIO - NUDE (TRANSPARENT) UNQ-8886463685419,99.00,,0,True
iPhone 15 Series Clear Case with MagSafe,239.00,,0,True
iPhone 15 Series Silicone Case with MagSafe,239.00,,0,True
iPhone 15 Series FineWoven Case with MagSafe,279.00,,0,True
Samsung Galaxy Tab S9 FE WiFi (8GB+256GB),"2,399.00",,100,True
Samsung Galaxy Tab A9 LTE (4GB+64GB),899.00,,50,True
Samsung Galaxy Tab A9+ (4GB+64GB) WiFi,"1,099.00",,50,True
OPPO Find N3 Flip (12GB+256GB),"4,399.00",,15,True
OPPO Pad 2 (8GB+256GB),"3,097.00",,15,True
HONOR X9b 5G (12GB+256GB),"1,499.00",,15,True
OPPO A79 5G ( 8GB + 256GB),"1,199.00",,15,True
iPhone FineWoven Wallet with MagSafe,279.00,,0,True
25W Power Delivery Adapter (USB-C) Black (Without Cable),79.00,,0,True
25W Power Delivery Adapter (USB-C) White (Without Cable),79.00,,0,True
HONOR X8b (8GB+512GB) ,999.00,,15,True
HONOR X7b (8GB+256GB),799.00,,15,True
Samsung Galaxy A15 LTE (8GB+256GB),999.00,,50,True
OPPO Reno11 5G (12GB+256GB),"1,899.00",,15,True
HONOR Magic V2 5G (16GB+512GB),"6,999.00",,15,True
Samsung Galaxy A25 5G (8GB+256GB),"1,299.00",,50,True
Samsung Galaxy S24+ 5G,"5,399.00",,50,True
Samsung Galaxy S24 Ultra 5G,"7,799.00",,50,True
Samsung Galaxy S24 5G,"4,599.00",,50,True
Oppo Pad Neo,"1,399.00",,15,True
OnePlus 12 (16+512GB) ,"4,599.00",,0,True
vivo Y100 5G (8GB+256GB),"1,199.00",,15,True
ASUS ROG Charger Dock,299.00,,0,False
OPPO Reno11 Pro 5G  (12GB+512GB),,,15,False
Apple Watch Series 9 Stainless Steel Case with Sport Band GPS + Cellular,,,0,False
Huawei M Pencil - Silver (No Charging Adapter) ,299.00,,0,False
Apple USB-C Charge Cable (1 m),99.00,,0,False
HONOR 90 Lite 5G,,,15,False
Redmi Note 12s 5G (8GB+256GB) - Black,999.00,,0,False
Redmi Note 12 Pro 4G (8GB+256GB),,,0,False
Apple Smart Keyboard Folio for iPad Pro 11-inch (4th generation) and iPad Air (5th generation) – US English,899.00,,0,False
Honor Pad X8 LTE 4GB+64GB,,,15,False
vivo Y22s [8GB+128GB],,,15,False
Huawei MatePad SE 10.4' 4GB+128GB (WiFi),999.00,,0,False
"Apple 12.9-inch iPad Pro (6th generation), 2022",,,0,False
Redmi 10C 4GB + 128GB ,,,0,False
vivo Y21T 6GB + 128GB,,,15,False
iPhone SE (3rd generation) ,,,0,False
Samsung Galaxy Tab S9 Ultra with Keyboard - Graphite  ,,,50,False
vivo Y78 5G (8GB+256GB),,,15,False
HONOR Pad X9 LTE (4GB+128GB),"1,099.00",,15,False
vivo V29 5G (12GB + 512GB),,,15,False
Samsung Galaxy A05s (6GB+128GB),,,50,False
Samsung Galaxy S23 FE 5G (8GB+256GB),,,50,False
HONOR X6a (6GB+128GB),,,15,False
OPPO Find N3 (16GB+512GB),,,15,False
